Code,Language
ARABIC,Arabic
CHINESE,Chinese
DUTCH,Dutch
ENGLISH,English
FRENCH,French
GERMAN,German
GREEK,Greek
ITALIAN,Italian
JAPANESE,Japanese
KOREAN,Korean
PERSIAN,Persian
POLISH,Polish
SPANISH,Spanish
